season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
06//07,LaLiga,35,2007-05-20,A,FC Barcelona,Atletico de Madrid,0:06,RW,80,0:05,Left-footed shot,Giovanni van Bronckhorst,messi,False,False,5,0,6,2007,5,20,Sunday,May,end,second time
06//07,LaLiga,37,2007-06-09,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,43,1:01,Header,Gianluca Zambrotta,messi,False,False,1,2,2,2007,6,9,Saturday,June,preseason,first half
06//07,LaLiga,37,2007-06-09,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,57,2:01,Right-footed shot,Deco,messi,False,False,2,2,2,2007,6,9,Saturday,June,preseason,second time
06//07,LaLiga,38,2007-06-17,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,34,0:02,Left-footed shot,Deco,messi,False,False,2,1,5,2007,6,17,Sunday,June,preseason,first half
06//07,LaLiga,38,2007-06-17,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,51,0:04,Left-footed shot,Deco,messi,False,False,4,1,5,2007,6,17,Sunday,June,preseason,second time
07//08,UEFA Champions League,group stage,2007-09-19,H,FC Barcelona,Olympique Lyon,3:00,RW,82,2:00,Left-footed shot,Andres Iniesta,messi,False,False,2,0,3,2007,9,19,Wednesday,September,start,second time
07//08,LaLiga,4,2007-09-22,H,FC Barcelona,Sevilla FC,2:01,RW,72,1:00,Left-footed shot,Thierry Henry,messi,False,False,1,1,2,2007,9,22,Saturday,September,start,second time
07//08,LaLiga,4,2007-09-22,H,FC Barcelona,Sevilla FC,2:01,RW,79,2:00,Penalty,no assist,messi,False,False,2,1,2,2007,9,22,Saturday,September,start,second time
07//08,LaLiga,5,2007-09-26,H,FC Barcelona,Real Zaragoza,4:01,RW,5,1:00,Left-footed shot,Thierry Henry,messi,False,False,1,1,4,2007,9,26,Wednesday,September,start,first half
07//08,LaLiga,5,2007-09-26,H,FC Barcelona,Real Zaragoza,4:01,RW,10,2:01,Left-footed shot,Deco,messi,False,False,2,1,4,2007,9,26,Wednesday,September,start,first half
07//08,LaLiga,6,2007-09-29,A,FC Barcelona,Levante UD,1:04,RW,50,0:04,Left-footed shot,Deco,messi,False,False,4,1,4,2007,9,29,Saturday,September,start,second time
07//08,UEFA Champions League,group stage,2007-10-02,A,FC Barcelona,VfB Stuttgart,0:02,RW,66,0:02,Deflected shot on goal,Thierry Henry,messi,False,False,2,0,2,2007,10,2,Tuesday,October,start,second time
07//08,LaLiga,7,2007-10-07,H,FC Barcelona,Atletico de Madrid,3:00,RW,19,2:00,Left-footed shot,Ronaldinho Gaacho,messi,False,False,2,0,3,2007,10,7,Sunday,October,start,first half
07//08,LaLiga,9,2007-10-28,H,FC Barcelona,UD Almera,2:00,RW,80,2:00,Penalty,no assist,messi,False,False,2,0,2,2007,10,28,Sunday,October,start,second time
07//08,UEFA Champions League,group stage,2007-11-07,H,FC Barcelona,Rangers FC,2:00,RW,41,2:00,Left-footed shot,Ronaldinho Gaacho,messi,False,False,2,0,2,2007,11,7,Wednesday,November,middle,first half
07//08,LaLiga,13,2007-11-24,H,FC Barcelona,Recreativo Huelva,3:00,RW,81,3:00,Penalty,no assist,messi,False,False,3,0,3,2007,11,24,Saturday,November,middle,second time
07//08,UEFA Champions League,group stage,2007-11-27,A,FC Barcelona,Olympique Lyon,2:02,RW,58,1:02,Penalty,no assist,messi,False,False,2,2,2,2007,11,27,Tuesday,November,middle,second time
07//08,UEFA Champions League,last 16,2008-02-20,A,FC Barcelona,Celtic FC,2:03,RW,18,1:01,Left-footed shot,Deco,messi,False,False,1,2,3,2008,2,20,Wednesday,February,middle,first half
07//08,UEFA Champions League,last 16,2008-02-20,A,FC Barcelona,Celtic FC,2:03,RW,79,2:03,Left-footed shot,Deco,messi,False,False,3,2,3,2008,2,20,Wednesday,February,middle,second time
07//08,LaLiga,25,2008-02-24,H,FC Barcelona,Levante UD,5:01,RW,44,2:01,Left-footed shot,Xavi,messi,False,False,2,1,5,2008,2,24,Sunday,February,middle,first half
07//08,LaLiga,35,2008-05-04,H,FC Barcelona,Valencia CF,6:00,RW,5,1:00,Penalty,no assist,messi,False,False,1,0,6,2008,5,4,Sunday,May,end,first half
08//09,LaLiga,2,2008-09-13,H,FC Barcelona,Racing Santander,1:01,RW,70,1:00,Penalty,no assist,messi,False,False,1,1,1,2008,9,13,Saturday,September,start,second time
08//09,LaLiga,3,2008-09-21,A,FC Barcelona,Sporting GijÃ³n,1:06,RW,85,1:05,Left-footed shot,Andres Iniesta,messi,False,False,5,1,6,2008,9,21,Sunday,September,start,second time
08//09,LaLiga,3,2008-09-21,A,FC Barcelona,Sporting GijÃ³n,1:06,RW,89,1:06,Header,Xavi,messi,False,False,6,1,6,2008,9,21,Sunday,September,start,second time
08//09,LaLiga,5,2008-09-27,A,FC Barcelona,RCD Espanyol Barcelona,1:02,RW,90,1:02,Penalty,no assist,messi,False,False,2,1,2,2008,9,27,Saturday,September,start,second time
08//09,UEFA Champions League,group stage,2008-10-01,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,87,1:01,Right-footed shot,Bojan Krkic,messi,False,False,1,1,2,2008,10,1,Wednesday,October,start,second time
08//09,UEFA Champions League,group stage,2008-10-01,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,90+2,1:02,Left-footed shot,Xavi,messi,False,False,2,1,2,2008,10,1,Wednesday,October,start,plus 90
08//09,LaLiga,6,2008-10-04,H,FC Barcelona,Atletico de Madrid,6:01,RW,8,3:00,Direct free kick,no assist,messi,False,False,3,1,6,2008,10,4,Saturday,October,start,first half
08//09,UEFA Champions League,group stage,2008-10-22,A,FC Barcelona,FC Basel 1893,0:05,CF,4,0:01,Left-footed shot,Dani Alves,messi,False,False,1,0,5,2008,10,22,Wednesday,October,start,first half
08//09,LaLiga,9,2008-11-01,A,FC Barcelona,Malaga CF,1:04,RW,19,1:02,Left-footed shot,Dani Alves,messi,False,False,2,1,4,2008,11,1,Saturday,November,middle,first half
08//09,UEFA Champions League,group stage,2008-11-04,H,FC Barcelona,FC Basel 1893,1:01,RW,61,1:00,Left-footed shot,Thierry Henry,messi,False,False,1,1,1,2008,11,4,Tuesday,November,middle,second time
08//09,Copa del Rey,fifth round,2008-11-12,H,FC Barcelona,Benidorm CD,1:00,RW,86,1:00,Penalty rebound,no assist,messi,False,False,1,0,1,2008,11,12,Wednesday,November,middle,second time
08//09,LaLiga,11,2008-11-16,A,FC Barcelona,Recreativo Huelva,0:02,RW,51,0:01,Left-footed shot,Xavi,messi,False,False,1,0,2,2008,11,16,Sunday,November,middle,second time
08//09,UEFA Champions League,group stage,2008-11-26,A,FC Barcelona,Sporting CP,2:05,RW,49,0:03,Left-footed shot,Dani Alves,messi,False,False,3,2,5,2008,11,26,Wednesday,November,middle,second time
08//09,LaLiga,13,2008-11-29,A,FC Barcelona,Sevilla FC,0:03,RW,78,0:02,Left-footed shot,Xavi,messi,False,False,2,0,3,2008,11,29,Saturday,November,middle,second time
08//09,LaLiga,13,2008-11-29,A,FC Barcelona,Sevilla FC,0:03,RW,90+2,0:03,Left-footed shot,Aleksandr Hleb,messi,False,False,3,0,3,2008,11,29,Saturday,November,middle,plus 90
08//09,LaLiga,15,2008-12-13,H,FC Barcelona,Real Madrid,2:00,RW,89,2:00,Counter attack goal,Thierry Henry,messi,False,False,2,0,2,2008,12,13,Saturday,December,middle,second time
08//09,Copa del Rey,round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,11,0:01,Left-footed shot,Dani Alves,messi,False,False,1,1,3,2009,1,6,Tuesday,January,middle,first half
08//09,Copa del Rey,round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,57,0:02,Penalty,no assist,messi,False,False,2,1,3,2009,1,6,Tuesday,January,middle,second time
08//09,Copa del Rey,round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,79,1:03,Right-footed shot,Andres Iniesta,messi,False,False,3,1,3,2009,1,6,Tuesday,January,middle,second time
08//09,LaLiga,18,2009-01-11,A,FC Barcelona,CA Osasuna,2:03,RW,84,2:03,Left-footed shot,Dani Alves,messi,False,False,3,2,3,2009,1,11,Sunday,January,middle,second time
08//09,LaLiga,19,2009-01-17,H,FC Barcelona,Deportivo de La Coruaa,5:00,RW,21,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,0,5,2009,1,17,Saturday,January,middle,first half
08//09,LaLiga,20,2009-01-24,H,FC Barcelona,CD Numancia,4:01,RW,49,1:00,Left-footed shot,Dani Alves,messi,False,False,1,1,4,2009,1,24,Saturday,January,middle,second time
08//09,LaLiga,20,2009-01-24,H,FC Barcelona,CD Numancia,4:01,RW,76,4:01,Right-footed shot,Samuel Etoo,messi,False,False,4,1,4,2009,1,24,Saturday,January,middle,second time
08//09,LaLiga,21,2009-02-01,A,FC Barcelona,Racing Santander,1:02,RW,65,1:01,Right-footed shot,Xavi,messi,False,False,1,1,2,2009,2,1,Sunday,February,middle,second time
08//09,LaLiga,21,2009-02-01,A,FC Barcelona,Racing Santander,1:02,RW,81,1:02,Right-footed shot,Dani Alves,messi,False,False,2,1,2,2009,2,1,Sunday,February,middle,second time
08//09,LaLiga,25,2009-03-01,A,FC Barcelona,Atletico de Madrid,4:03,RW,30,0:02,Left-footed shot,Xavi,messi,False,False,2,4,3,2009,3,1,Sunday,March,end,first half
08//09,Copa del Rey,semi-finals,2009-03-04,A,FC Barcelona,RCD Mallorca,1:01,RW,81,1:01,Left-footed shot,Gerard Pique,messi,False,False,1,1,1,2009,3,4,Wednesday,March,end,second time
08//09,LaLiga,26,2009-03-07,H,FC Barcelona,Athletic Bilbao,2:00,RW,31,2:00,Penalty,no assist,messi,False,False,2,0,2,2009,3,7,Saturday,March,end,first half
08//09,UEFA Champions League,last 16,2009-03-11,H,FC Barcelona,Olympique Lyon,5:02,RW,40,3:00,Left-footed shot,Samuel Etoo,messi,False,False,3,2,5,2009,3,11,Wednesday,March,end,first half
08//09,LaLiga,28,2009-03-22,H,FC Barcelona,Malaga CF,6:00,RW,26,2:00,Right-footed shot,Xavi,messi,False,False,2,0,6,2009,3,22,Sunday,March,end,first half
08//09,UEFA Champions League,quarter-finals,2009-04-08,H,FC Barcelona,Bayern Munich,4:00,RW,9,1:00,Left-footed shot,Samuel Etoo,messi,False,False,1,0,4,2009,4,8,Wednesday,April,end,first half
08//09,UEFA Champions League,quarter-finals,2009-04-08,H,FC Barcelona,Bayern Munich,4:00,RW,38,3:00,Right-footed shot,Thierry Henry,messi,False,False,3,0,4,2009,4,8,Wednesday,April,end,first half
08//09,LaLiga,31,2009-04-18,A,FC Barcelona,Getafe CF,0:01,RW,18,0:01,Left-footed shot,Xavi,messi,False,False,1,0,1,2009,4,18,Saturday,April,end,first half
08//09,LaLiga,33,2009-04-25,A,FC Barcelona,Valencia CF,2:02,RW,23,0:01,Left-footed shot,Andres Iniesta,messi,False,False,1,2,2,2009,4,25,Saturday,April,end,first half
08//09,LaLiga,34,2009-05-02,A,FC Barcelona,Real Madrid,2:06,CF,35,1:03,Left-footed shot,Xavi,messi,False,False,3,2,6,2009,5,2,Saturday,May,end,first half
08//09,LaLiga,34,2009-05-02,A,FC Barcelona,Real Madrid,2:06,CF,75,2:05,Left-footed shot,Xavi,messi,False,False,5,2,6,2009,5,2,Saturday,May,end,second time
08//09,Copa del Rey,final,2009-05-13,H,FC Barcelona,Athletic Bilbao,4:01,RW,55,2:01,Left-footed shot,Samuel Etoo,messi,False,False,2,1,4,2009,5,13,Wednesday,May,end,second time
08//09,UEFA Champions League,final,2009-05-27,H,FC Barcelona,Manchester United,2:00,CF,70,2:00,Header,Xavi,messi,False,False,2,0,2,2009,5,27,Wednesday,May,end,second time
09//10,Supercopa,final,2009-08-23,H,FC Barcelona,Athletic Bilbao,3:00,RW,50,1:00,Right-footed shot,Zlatan Ibrahimovic,messi,False,False,1,0,3,2009,8,23,Sunday,August,start,second time
09//10,Supercopa,final,2009-08-23,H,FC Barcelona,Athletic Bilbao,3:00,RW,68,2:00,Penalty,no assist,messi,False,False,2,0,3,2009,8,23,Sunday,August,start,second time
09//10,LaLiga,2,2009-09-12,A,FC Barcelona,Getafe CF,0:02,RW,78,0:02,Header,Zlatan Ibrahimovic,messi,False,False,2,0,2,2009,9,12,Saturday,September,start,second time
09//10,LaLiga,3,2009-09-19,H,FC Barcelona,Atletico de Madrid,5:02,RW,15,2:00,Left-footed shot,Xavi,messi,False,False,2,2,5,2009,9,19,Saturday,September,start,first half
09//10,LaLiga,3,2009-09-19,H,FC Barcelona,Atletico de Madrid,5:02,RW,90+3,5:02,Right-footed shot,Dani Alves,messi,False,False,5,2,5,2009,9,19,Saturday,September,start,plus 90
09//10,LaLiga,4,2009-09-22,A,FC Barcelona,Racing Santander,1:04,RW,23,0:02,Left-footed shot,Xavi,messi,False,False,2,1,4,2009,9,22,Tuesday,September,start,first half
09//10,LaLiga,4,2009-09-22,A,FC Barcelona,Racing Santander,1:04,RW,63,0:04,Left-footed shot,Xavi,messi,False,False,4,1,4,2009,9,22,Tuesday,September,start,second time
09//10,UEFA Champions League,group stage,2009-09-29,H,FC Barcelona,Dynamo Kyiv,2:00,RW,25,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,0,2,2009,9,29,Tuesday,September,start,first half
09//10,LaLiga,8,2009-10-25,H,FC Barcelona,Real Zaragoza,6:01,RW,80,5:01,Left-footed shot,Andres Iniesta,messi,False,False,5,1,6,2009,10,25,Sunday,October,start,second time
09//10,LaLiga,10,2009-11-07,H,FC Barcelona,RCD Mallorca,4:02,RW,86,4:01,Penalty,no assist,messi,False,False,4,2,4,2009,11,7,Saturday,November,middle,second time
09//10,Copa del Rey,5th round,2009-11-10,H,FC Barcelona,Cultural Leonesa,5:00,RW,64,4:00,Left-footed shot,Pedro,messi,False,False,4,0,5,2009,11,10,Tuesday,November,middle,second time
09//10,LaLiga,13,2009-12-05,A,FC Barcelona,Deportivo de La Coruaa,1:03,RW,26,0:01,Left-footed shot,Dani Alves,messi,False,False,1,1,3,2009,12,5,Saturday,December,middle,first half
09//10,LaLiga,13,2009-12-05,A,FC Barcelona,Deportivo de La Coruaa,1:03,RW,80,1:02,Header,Pedro,messi,False,False,2,1,3,2009,12,5,Saturday,December,middle,second time
09//10,UEFA Champions League,group stage,2009-12-09,A,FC Barcelona,Dynamo Kyiv,1:02,RW,86,1:02,Direct free kick,no assist,messi,False,False,2,1,2,2009,12,9,Wednesday,December,middle,second time
09//10,FIFA Club World Cup,semi-finals,2009-12-16,A,FC Barcelona,CF Atlante,1:03,RW,55,1:02,Left-footed shot,Zlatan Ibrahimovic,messi,False,False,2,1,3,2009,12,16,Wednesday,December,middle,second time
09//10,FIFA Club World Cup,final,2009-12-19,A,FC Barcelona,Club Estudiantes de La Plata,1:2 AET,RW,110,1:02,Chest,Dani Alves,messi,True,False,2,1,2,2009,12,19,Saturday,December,middle,extra time
09//10,LaLiga,17,2010-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,36,0:01,Left-footed shot,Bojan Krkic,messi,False,False,1,0,5,2010,1,10,Sunday,January,middle,first half
09//10,LaLiga,17,2010-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,45,0:03,Right-footed shot,Bojan Krkic,messi,False,False,3,0,5,2010,1,10,Sunday,January,middle,first half
09//10,LaLiga,17,2010-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,75,0:04,Left-footed shot,Bojan Krkic,messi,False,False,4,0,5,2010,1,10,Sunday,January,middle,second time
09//10,LaLiga,18,2010-01-16,H,FC Barcelona,Sevilla FC,4:00,RW,85,3:00,Left-footed shot,Dani Alves,messi,False,False,3,0,4,2010,1,16,Saturday,January,middle,second time
09//10,LaLiga,18,2010-01-16,H,FC Barcelona,Sevilla FC,4:00,RW,90+1,4:00,Left-footed shot,Ã‰ric Abidal,messi,False,False,4,0,4,2010,1,16,Saturday,January,middle,plus 90
09//10,LaLiga,19,2010-01-23,A,FC Barcelona,Real Valladolid CF,0:03,RW,54,0:03,Left-footed shot,Zlatan Ibrahimovic,messi,False,False,3,0,3,2010,1,23,Saturday,January,middle,second time
09//10,LaLiga,21,2010-02-06,H,FC Barcelona,Getafe CF,2:01,RW,7,1:00,Left-footed shot,Yaya Toure,messi,False,False,1,1,2,2010,2,6,Saturday,February,middle,first half
09//10,LaLiga,24,2010-02-27,H,FC Barcelona,Malaga CF,2:01,RW,84,2:01,Right-footed shot,Dani Alves,messi,False,False,2,1,2,2010,2,27,Saturday,February,middle,second time
09//10,LaLiga,25,2010-03-06,A,FC Barcelona,UD Almera,2:02,RW,42,1:01,Direct free kick,no assist,messi,False,False,1,2,2,2010,3,6,Saturday,March,end,first half
09//10,LaLiga,25,2010-03-06,A,FC Barcelona,UD Almera,2:02,RW,66,2:02,Left-footed shot,Dani Alves,messi,False,False,2,2,2,2010,3,6,Saturday,March,end,second time
09//10,LaLiga,26,2010-03-14,H,FC Barcelona,Valencia CF,3:00,CF,56,1:00,Left-footed shot,Xavi,messi,False,False,1,0,3,2010,3,14,Sunday,March,end,second time
09//10,LaLiga,26,2010-03-14,H,FC Barcelona,Valencia CF,3:00,CF,80,2:00,Left-footed shot,Thierry Henry,messi,False,False,2,0,3,2010,3,14,Sunday,March,end,second time
09//10,LaLiga,26,2010-03-14,H,FC Barcelona,Valencia CF,3:00,CF,82,3:00,Right-footed shot,Thierry Henry,messi,False,False,3,0,3,2010,3,14,Sunday,March,end,second time
09//10,UEFA Champions League,last 16,2010-03-17,H,FC Barcelona,VfB Stuttgart,4:00,CF,13,1:00,Left-footed shot,Yaya Toure,messi,False,False,1,0,4,2010,3,17,Wednesday,March,end,first half
09//10,UEFA Champions League,last 16,2010-03-17,H,FC Barcelona,VfB Stuttgart,4:00,CF,56,3:00,Left-footed shot,Dani Alves,messi,False,False,3,0,4,2010,3,17,Wednesday,March,end,second time
09//10,LaLiga,27,2010-03-21,A,FC Barcelona,Real Zaragoza,2:04,RW,4,0:01,Header,Pedro,messi,False,False,1,2,4,2010,3,21,Sunday,March,end,first half
09//10,LaLiga,27,2010-03-21,A,FC Barcelona,Real Zaragoza,2:04,RW,65,0:02,Left-footed shot,Xavi,messi,False,False,2,2,4,2010,3,21,Sunday,March,end,second time
09//10,LaLiga,27,2010-03-21,A,FC Barcelona,Real Zaragoza,2:04,RW,78,0:03,Left-footed shot,Andres Iniesta,messi,False,False,3,2,4,2010,3,21,Sunday,March,end,second time
09//10,LaLiga,30,2010-04-03,H,FC Barcelona,Athletic Bilbao,4:01,CF,67,4:00,Left-footed shot,Pedro,messi,False,False,4,1,4,2010,4,3,Saturday,April,end,second time
09//10,UEFA Champions League,quarter-finals,2010-04-06,H,FC Barcelona,Arsenal FC,4:01,CF,21,1:01,Left-footed shot,Pedro,messi,False,False,1,1,4,2010,4,6,Tuesday,April,end,first half
09//10,UEFA Champions League,quarter-finals,2010-04-06,H,FC Barcelona,Arsenal FC,4:01,CF,37,2:01,Right-footed shot,Pedro,messi,False,False,2,1,4,2010,4,6,Tuesday,April,end,first half
09//10,UEFA Champions League,quarter-finals,2010-04-06,H,FC Barcelona,Arsenal FC,4:01,CF,42,3:01,Left-footed shot,Seydou Keita,messi,False,False,3,1,4,2010,4,6,Tuesday,April,end,first half
09//10,UEFA Champions League,quarter-finals,2010-04-06,H,FC Barcelona,Arsenal FC,4:01,CF,88,4:01,Left-footed shot,Xavi,messi,False,False,4,1,4,2010,4,6,Tuesday,April,end,second time
09//10,LaLiga,31,2010-04-10,A,FC Barcelona,Real Madrid,0:02,CF,32,0:01,Right-footed shot,Xavi,messi,False,False,1,0,2,2010,4,10,Saturday,April,end,first half
09//10,LaLiga,35,2010-05-01,A,FC Barcelona,Villarreal CF,1:04,RW,18,0:01,Left-footed shot,Xavi,messi,False,False,1,1,4,2010,5,1,Saturday,May,end,first half
09//10,LaLiga,35,2010-05-01,A,FC Barcelona,Villarreal CF,1:04,RW,87,1:04,Left-footed shot,Dani Alves,messi,False,False,4,1,4,2010,5,1,Saturday,May,end,second time
09//10,LaLiga,36,2010-05-04,H,FC Barcelona,CD Tenerife,4:01,RW,16,1:00,Right-footed shot,Zlatan Ibrahimovic,messi,False,False,1,1,4,2010,5,4,Tuesday,May,end,first half
09//10,LaLiga,36,2010-05-04,H,FC Barcelona,CD Tenerife,4:01,RW,90+3,4:01,Right-footed shot,Dani Alves,messi,False,False,4,1,4,2010,5,4,Tuesday,May,end,plus 90
09//10,LaLiga,37,2010-05-08,A,FC Barcelona,Sevilla FC,2:03,RW,5,0:01,Left-footed shot,Maxwell,messi,False,False,1,2,3,2010,5,8,Saturday,May,end,first half
09//10,LaLiga,38,2010-05-16,H,FC Barcelona,Real Valladolid CF,4:00,RW,61,3:00,Right-footed shot,Yaya Toure,messi,False,False,3,0,4,2010,5,16,Sunday,May,end,second time
09//10,LaLiga,38,2010-05-16,H,FC Barcelona,Real Valladolid CF,4:00,RW,74,4:00,Left-footed shot,Yaya Toure,messi,False,False,4,0,4,2010,5,16,Sunday,May,end,second time
10//11,Supercopa,final,2010-08-21,H,FC Barcelona,Sevilla FC,4:00,RW,25,2:00,Left-footed shot,Xavi,messi,False,False,2,0,4,2010,8,21,Saturday,August,start,first half
10//11,Supercopa,final,2010-08-21,H,FC Barcelona,Sevilla FC,4:00,RW,43,3:00,Right-footed shot,Dani Alves,messi,False,False,3,0,4,2010,8,21,Saturday,August,start,first half
10//11,Supercopa,final,2010-08-21,H,FC Barcelona,Sevilla FC,4:00,RW,90+1,4:00,Left-footed shot,Andres Iniesta,messi,False,False,4,0,4,2010,8,21,Saturday,August,start,plus 90
10//11,LaLiga,1,2010-08-29,A,FC Barcelona,Racing Santander,0:03,RW,3,0:01,Left-footed shot,Andres Iniesta,messi,False,False,1,0,3,2010,8,29,Sunday,August,start,first half
10//11,UEFA Champions League,group stage,2010-09-14,H,FC Barcelona,Panathinaikos Athens,5:01,CF,22,1:01,Left-footed shot,Xavi,messi,False,False,1,1,5,2010,9,14,Tuesday,September,start,first half
10//11,UEFA Champions League,group stage,2010-09-14,H,FC Barcelona,Panathinaikos Athens,5:01,CF,45,3:01,Left-footed shot,Pedro,messi,False,False,3,1,5,2010,9,14,Tuesday,September,start,first half
10//11,LaLiga,3,2010-09-19,A,FC Barcelona,Atletico de Madrid,1:02,CF,12,0:01,Left-footed shot,Pedro,messi,False,False,1,1,2,2010,9,19,Sunday,September,start,first half
10//11,LaLiga,6,2010-10-03,H,FC Barcelona,RCD Mallorca,1:01,CF,20,1:00,Left-footed shot,Pedro,messi,False,False,1,1,1,2010,10,3,Sunday,October,start,first half
10//11,UEFA Champions League,group stage,2010-10-20,H,FC Barcelona,FC Copenhagen,2:00,CF,18,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,0,2,2010,10,20,Wednesday,October,start,first half
10//11,UEFA Champions League,group stage,2010-10-20,H,FC Barcelona,FC Copenhagen,2:00,CF,90+1,2:00,Left-footed shot,Ã‰ric Abidal,messi,False,False,2,0,2,2010,10,20,Wednesday,October,start,plus 90
10//11,LaLiga,8,2010-10-23,A,FC Barcelona,Real Zaragoza,0:02,CF,41,0:01,Left-footed shot,David Villa,messi,False,False,1,0,2,2010,10,23,Saturday,October,start,first half
10//11,LaLiga,8,2010-10-23,A,FC Barcelona,Real Zaragoza,0:02,CF,65,0:02,Left-footed shot,Pedro,messi,False,False,2,0,2,2010,10,23,Saturday,October,start,second time
10//11,LaLiga,9,2010-10-30,H,FC Barcelona,Sevilla FC,5:00,RW,4,1:00,Left-footed shot,Dani Alves,messi,False,False,1,0,5,2010,10,30,Saturday,October,start,first half
10//11,LaLiga,9,2010-10-30,H,FC Barcelona,Sevilla FC,5:00,RW,63,4:00,Left-footed shot,Andres Iniesta,messi,False,False,4,0,5,2010,10,30,Saturday,October,start,second time
10//11,UEFA Champions League,group stage,2010-11-02,A,FC Barcelona,FC Copenhagen,1:01,CF,31,0:01,Right-footed shot,Dani Alves,messi,False,False,1,1,1,2010,11,2,Tuesday,November,middle,first half
10//11,LaLiga,10,2010-11-07,A,FC Barcelona,Getafe CF,1:03,CF,23,0:01,Left-footed shot,David Villa,messi,False,False,1,1,3,2010,11,7,Sunday,November,middle,first half
10//11,Copa del Rey,4th round,2010-11-10,H,FC Barcelona,Club Atletico de Ceuta,5:01,RW,67,5:01,Left-footed shot,Thiago,messi,False,False,5,1,5,2010,11,10,Wednesday,November,middle,second time
10//11,LaLiga,11,2010-11-13,H,FC Barcelona,Villarreal CF,3:01,CF,58,2:01,Right-footed shot,Pedro,messi,False,False,2,1,3,2010,11,13,Saturday,November,middle,second time
10//11,LaLiga,11,2010-11-13,H,FC Barcelona,Villarreal CF,3:01,CF,83,3:01,Left-footed shot,Pedro,messi,False,False,3,1,3,2010,11,13,Saturday,November,middle,second time
10//11,LaLiga,12,2010-11-20,A,FC Barcelona,UD Almera,0:08,CF,16,0:01,Left-footed shot,David Villa,messi,False,False,1,0,8,2010,11,20,Saturday,November,middle,first half
10//11,LaLiga,12,2010-11-20,A,FC Barcelona,UD Almera,0:08,CF,36,0:05,Tap-in,Andres Iniesta,messi,False,False,5,0,8,2010,11,20,Saturday,November,middle,first half
10//11,LaLiga,12,2010-11-20,A,FC Barcelona,UD Almera,0:08,CF,67,0:07,Tap-in,David Villa,messi,False,False,7,0,8,2010,11,20,Saturday,November,middle,second time
10//11,UEFA Champions League,group stage,2010-11-24,A,FC Barcelona,Panathinaikos Athens,0:03,CF,63,0:02,Left-footed shot,Adriano,messi,False,False,2,0,3,2010,11,24,Wednesday,November,middle,second time
10//11,LaLiga,14,2010-12-04,A,FC Barcelona,CA Osasuna,0:03,CF,64,0:02,Left-footed shot,David Villa,messi,False,False,2,0,3,2010,12,4,Saturday,December,middle,second time
10//11,LaLiga,14,2010-12-04,A,FC Barcelona,CA Osasuna,0:03,CF,82,0:03,Penalty,no assist,messi,False,False,3,0,3,2010,12,4,Saturday,December,middle,second time
10//11,LaLiga,15,2010-12-12,H,FC Barcelona,Real Sociedad,5:00,CF,46,3:00,Left-footed shot,Dani Alves,messi,False,False,3,0,5,2010,12,12,Sunday,December,middle,second time
10//11,LaLiga,15,2010-12-12,H,FC Barcelona,Real Sociedad,5:00,CF,86,4:00,Left-footed shot,Bojan Krkic,messi,False,False,4,0,5,2010,12,12,Sunday,December,middle,second time
10//11,LaLiga,18,2011-01-08,A,FC Barcelona,Deportivo de La Coruaa,0:04,CF,51,0:02,Direct free kick,no assist,messi,False,False,2,0,4,2011,1,8,Saturday,January,middle,second time
10//11,Copa del Rey,quarter-finals,2011-01-12,H,FC Barcelona,Real Betis Balompie,5:00,CF,44,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,0,5,2011,1,12,Wednesday,January,middle,first half
10//11,Copa del Rey,quarter-finals,2011-01-12,H,FC Barcelona,Real Betis Balompie,5:00,CF,63,2:00,Left-footed shot,Xavi,messi,False,False,2,0,5,2011,1,12,Wednesday,January,middle,second time
10//11,Copa del Rey,quarter-finals,2011-01-12,H,FC Barcelona,Real Betis Balompie,5:00,CF,73,3:00,Left-footed shot,Xavi,messi,False,False,3,0,5,2011,1,12,Wednesday,January,middle,second time
10//11,Copa del Rey,quarter-finals,2011-01-19,A,FC Barcelona,Real Betis Balompie,3:01,RW,37,2:01,Left-footed shot,Xavi,messi,False,False,1,3,1,2011,1,19,Wednesday,January,middle,first half
10//11,LaLiga,20,2011-01-22,H,FC Barcelona,Racing Santander,3:00,CF,33,2:00,Penalty,no assist,messi,False,False,2,0,3,2011,1,22,Saturday,January,middle,first half
